lib/db/operations.test.ts(10,1): error TS2304: Cannot find name 'jest'.
lib/db/operations.test.ts(12,1): error TS2582: Cannot find name 'describe'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
lib/db/operations.test.ts(13,5): error TS2582: Cannot find name 'describe'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
lib/db/operations.test.ts(14,9): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
lib/db/operations.test.ts(15,13): error TS2304: Cannot find name 'expect'.
lib/db/operations.test.ts(16,13): error TS2304: Cannot find name 'expect'.
lib/db/operations.test.ts(19,9): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
lib/db/operations.test.ts(20,13): error TS2304: Cannot find name 'expect'.
lib/db/operations.test.ts(21,13): error TS2304: Cannot find name 'expect'.
lib/db/operations.test.ts(22,13): error TS2304: Cannot find name 'expect'.
lib/db/operations.test.ts(26,5): error TS2582: Cannot find name 'describe'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
lib/db/operations.test.ts(27,9): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
lib/db/operations.test.ts(28,13): error TS2304: Cannot find name 'expect'.
lib/db/operations.test.ts(31,9): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
lib/db/operations.test.ts(32,13): error TS2304: Cannot find name 'expect'.
lib/db/operations.test.ts(33,13): error TS2304: Cannot find name 'expect'.
lib/db/operations.test.ts(37,5): error TS2582: Cannot find name 'describe'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
lib/db/operations.test.ts(38,9): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
lib/db/operations.test.ts(39,13): error TS2304: Cannot find name 'expect'.
lib/db/operations.test.ts(40,13): error TS2304: Cannot find name 'expect'.
lib/db/operations.test.ts(44,5): error TS2582: Cannot find name 'describe'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
lib/db/operations.test.ts(45,9): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
lib/db/operations.test.ts(48,13): error TS2304: Cannot find name 'expect'.
lib/db/operations.test.ts(49,13): error TS2304: Cannot find name 'expect'.
